IDNRK,LIFNR,ORT01
ZROH33,Sold To 06_22,경기도 성남시
ZROH34,Gurgaon Warehouse ( 3T Logistics ),인도 구르가온
ZROH31,미래에셋생명보험,서울특별시
ZROH24,Hyundai Motor Ulsan 2Nd Plant,울산광역시
ZHALB12,Sri Jayalakshmi Industries-Chennai,Chennai
ZROH12,Fdfd,경기도 성남시
ZROH23,Test Customer Msb,경기도 성남시
GE612B2000,Gkn Sinter Metals Pvt Ltd-Pune(P2),Ahmed Nagar
GM45302420,Chrysler_Fca_Oem,Agua Nueva Saltillo
GE610B2000,한국증권금융,서울특별시
K302415,삼성에스 Iacc Tets,경기도 성남시
K103648,Gm_Dropship Kyb Android Euro_Oem,Shreveport United States
GL721C3400,[Mcc] Chongqing Plant,Chongqing
GL725J2100,Gosia_1907,Walbrzych
GL714J2600,지엠비코리아,경상남도 창원시
GL731B5200,삼성생명보험,서울특별시
GL726J1900,현대해상화재보험,서울특별시
GM491J1300,Gm_Brazil_De(Sp),Sorocaba Sao Paulo
GL723A7000,Gm_Mexico_De,Mexico
GL788A2400,Chrysler_Warren_Oem,Poland
GT95401100,Gm_Brazil_De,Spbrazil
GM74200500,Hyundai Motor Ulsan 1St Plant,울산광역시
GA79200100,엠아이티코리아,대전광역시
GL741J1600,Sold To 생성 0523_1_1,경기도 성남시
K302302,Gm Ecuador_As(Sp),Quito
K104303,Ford_Europe_De,Germany
GA96103600,Mexico Taesan S De Rl De Cv,Arteaga Coahuila Mexico 25350
GL784J1900,Gkn Sinter Metals Pvt Ltd-Pune(P2),Ahmed Nagar
GM746A7000,Hmma_Mobis(Al)_Oem,Montgomery
GL777B2400,원광산업(주),원주시
K302563,미즈호은행,서울특별시
GL781A2000,(주)만도 테스트 220329,경기도 성남시
GL788A1700,Gm_As_,Memphis Tn
K104305,하나은행 중소기업기술정보진흥원,세종특별자치시
K104302,Amediateka,Walbrzych
GM401J0150,Ford_Na_De,Dearborn Mi  Us
GM901A1700,Test Normal,서울특별시
GU800J3200,Sub Cont Test1,Abcd
GP956A2200,Customer_Shaun,Walbrzych
GE91010000,[Mcp] Walbrzych Plant,Poland
GM410B2000,Mbc_Bhmc/Dyk_De,Beijing
GM416B2000,Mdk_Bmw,Munchen Deutschland
GM423B2000,보림테크,익산시
GM425B2000,Hyundai Glovis,서울특별시
GM47100400,Gm_Brazil(Krw)_De(Sp),Sorocaba - Sao Paulo
GP90017100,(주)만도 테스트 220329,경기도 성남시
GP92300202,Test Company 2,울산광역시
K302301,Ford_India_De,Tn In
K302414,Abc Corporate,서울특별시
K302593,Gm Thailand_Thailand_De,Apluakdaeng  Rayong Thailand
GM411B2000,Hyundai Motor Ulsan 4Th Plant,울산광역시
GM45433300,[Mdk] Pyeongtaek Brake Plant1,Pyeongtaek
GM493B2001,우리은행 판교지점,경기도 성남시
GM430O6000,Gm_Holden_De,Australia
GM41933400,코우산업,평택시
GM49533300,디비에스은행,서울특별시
GM496B2000,미래에셋생명보험,서울특별시
GZ311X2000,Milan_1907,Walbrzych
GM413B2000,[Mdk] Pyeongtaek Brake Plant,Address
GM415B0001,Tdscusupd3,Gandhinagar
GM920A1500,Hyundai Motor Ulsan 3Rd Plant,울산광역시
GM421B2000,키움증권,서울특별시
GT92424800,Tdscustupd1,Gandhinagar
